pedestrianId evacuationTime-PID2
5 Infinity
6 Infinity
19 Infinity
20 Infinity
21 Infinity
22 Infinity
23 Infinity
24 Infinity
25 Infinity
26 Infinity
27 Infinity
28 Infinity
29 Infinity
30 Infinity
31 Infinity
32 10.800000000000004
33 46.7999999999999
34 19.599999999999994
35 41.19999999999992
36 25.199999999999974
37 12.000000000000005
38 43.99999999999991
39 40.79999999999992
40 22.799999999999983
41 29.999999999999957
42 36.399999999999935
43 21.19999999999999
44 23.19999999999998
45 23.19999999999998
46 Infinity
47 14.800000000000008
48 42.39999999999991
49 30.799999999999955
50 12.000000000000005
51 15.600000000000009
