N, Datafold_mean, Datafold_sd, self_mean, self_sd,
1000, 0.225, 0.009, 1.920, 0.715
2000, 0.376, 0.037, 5.930, 0.348
3000, 0.654, 0.037, 15.90, 1.270
4000, 1.170, 0.027, 28.40, 1.100
5000, 1.510, 0.032, 72.00, 2.160
6000, 2.340, 0.060, 108.0, 4.140
7000, 2.900, 0.090, 149.0, 5.670
8000, 3.710, 0.070, 170.0, 43.20
9000, 4.540, 0.205, 259.0, 28.10
10000,5.750, 0.207, 314.0, 24.50
11000,6.350, 0.195, 319.0, 11.40
12000,8.070, 0.203, 401.0, 5.820
13000,8.440, 0.222, 649.0, 2.490
14000,9.000, 0.504, 821.0, 3.310
15000,12.10, 0.316, 614.0, 21.40
