N, sklearn_rbf_mean, sklearn_rbf_sd, sklearn_n_mean, sklearn_n_std, self_mean, self_sd,
1000, 0.11, 0.005, 0.12, 0.020, 0.13, 0.016
2000, 0.55, 0.134, 0.43, 0.183, 0.38, 0.080
3000, 1.15, 0.168, 0.71, 0.130, 0.74, 0.391
4000, 2.28, 0.300, 1.08, 0.154, 1.58, 0.241
5000, 4.25, 0.185, 1.50, 0.218, 2.48, 0.193
6000, 9.04, 1.390, 1.90, 0.333, 3.72, 0.365
7000, 9.04, 0.219, 2.51, 0.231, 5.21, 0.441
8000, 14.5, 1.360, 2.99, 0.231, 6.86, 0.444
9000, 17.3, 0.692, 3.68, 0.299, 8.35, 0.860
10000,25.1, 3.330, 4.29, 0.168, 10.3, 0.648
11000,32.9, 2.490, 4.85, 0.077, 14.9, 2.150
12000,44.9, 3.990, 6.03, 0.304, 20.7, 5.040
13000,68.0, 5.000, 8.36, 1.270, 19.8, 2.280
14000,88.0, 19.00, 8.31, 0.481, 23.2, 1.990
15000,115,  10.50, 8.62, 0.470, 30.2, 2.850
